game_only,game_only,with_pregame,with_pregame
emotional,neutral,emotional,neutral
1.26648,0.95,1.46888,0.6380600000000001
1.07535,0.9099999999999999,1.51797,0.70428
1.1683999999999999,1.0,1.0261799999999999,0.68286
1.3488700000000002,1.0,2.10665,1.0
0.99282,1.0,2.2290125,1.0
0.66343,1.0,1.23956,1.0
1.44696,1.0,1.8558299999999999,1.08972
1.6739777777777778,1.0,2.8505333333333334,1.0
1.101088888888889,1.0,2.5505,0.9400000000000001
1.81588,1.0,3.16535,0.95
1.6376300000000001,1.0,2.0867899999999997,0.9299899999999999
1.3796249999999999,1.0,2.44808,0.96
